INDIVIDUAL_ID,HOUSEHOLD_ID,FIRST_NAME,LAST_NAME,RFV Score,Age,Life Stage, Shoes-Sales Bf Promotion , Shoes-Sales Promotion , Shoes-Sales Af Promotion , Home-Sales Bf Promotion , Home-Sales Promotion , Home-Sales Af Promotion , Garden-Sales Bf Promotion , Garden-Sales Promotion , Garden-Sales Af Promotion , Shoes-PromotionOnlyFlag , Home-PromotionOnlyFlag , Garden-PromotionOnlyFlag 
5529732642,5543414614,Maria,Mendez,234,45,Young Singles, $ 281 , $ 321 , $ 358 , $ 435 , $ 594 , $ 191 , $ 338 , $ 618 , $ 282 ,0,0,1
5531493803,5545095856,Rene,Howell,341,35,Young Singles, $ 211 , $ 554 , $ 354 , $ 151 , $ 530 , $ 75 , $ 455 , $ 397 , $ 420 ,1,0,1
5531361374,5544968561,Jerome,Grushkin,114,43,Matures, $ 428 , $ 417 , $ 282 , $ 162 , $ 411 , $ 156 , $ 457 , $ 495 , $ 211 ,0,0,1
5533187307,5546714362,Pat,Philpott,315,22,Young Couples, $ 78 , $ 330 , $ 190 , $ 61 , $ 475 , $ 317 , $ 353 , $ 601 , $ 123 ,0,0,0
5527644144,5541421122,Ronald,Thompson,313,36,Young Couples, $ 252 , $ 497 , $ 492 , $ 337 , $ 503 , $ 118 , $ 497 , $ 344 , $ 330 ,0,1,1
5538938993,5552291249,Julie,Schnell,353,54,Mom & Baby, $ 255 , $ 679 , $ 51 , $ 412 , $ 371 , $ 374 , $ 83 , $ 468 , $ 293 ,1,0,1
5535860610,5549285975,Ginger,Benwell,513,47,Matures, $ 174 , $ 317 , $ 468 , $ 446 , $ 626 , $ 255 , $ 180 , $ 496 , $ 239 ,0,0,1
5539457215,5553055106,Janna,Young,515,32,Young Singles, $ 59 , $ 483 , $ 473 , $ 319 , $ 526 , $ 420 , $ 401 , $ 441 , $ 400 ,0,1,0
5537237475,5550635063,Leslie,Sofarelli,455,51,Young Singles, $ 112 , $ 337 , $ 89 , $ 152 , $ 651 , $ 415 , $ 107 , $ 380 , $ 370 ,1,0,0
5533208677,5546734324,Joann,Carelli,555,46,Matures, $ 170 , $ 532 , $ 189 , $ 194 , $ 366 , $ 461 , $ 213 , $ 336 , $ 267 ,0,1,0
