Company Name,DUNS Number,Address: line1,Address: line2,City,State/Province,State/Province ISO code,Country,Annual Sales,Industry,SIC Code,Website,Contact Job Title,Gender,Personal Linkedin Link,Contact First Name,Contact Last Name,No of PCs,No of Servers,No of Colur Printers,Major Network Brand,No of Laser Printers
3Com Corp,70-510-7302,5,91538 Del Sol Trail,Bakersfield,Georgia,GA,United States,8451854800,Finance & Insurance,36046929,g.co,Executive IT,Male,www.linkedin.com/Keil,Keil,CURTIS,408,60,100,Rowe-Bernier,10
3M Company,70-510-7303,5,91538 Del Sol Trail,Bakersfield,Idaho,ID,United States,3922580385,Accommodation & Food Services,36046930,g.co,Manager - Data Center,Male,www.linkedin.com/Frederik,Frederik,THOMAS,624,30,118,,17
A.G. Edwards Inc.,70-510-7304,5,91538 Del Sol Trail,Bakersfield,Kentucky,KY,United States,2020356204,Electrical & Electronics,36046931,g.co,Engineer - Software Development,Male,www.linkedin.com/Jodie,Jodie,BRUCE,579,44,57,,18
Abbott Laboratories,70-510-7305,5,91538 Del Sol Trail,Bakersfield,Kentucky,KY,United States,9039103857,Telecommunications,36046932,g.co,Administrator Associate,Male,www.linkedin.com/Simon,Simon,BRYANT,506,49,140,,16
Abercrombie & Fitch Co.,70-510-7306,5,91538 Del Sol Trail,Bakersfield,Wyoming,WY,United States,2659111285,"Arts, Entertainment & Recreation",36046933,g.co,General Manager - Manufacturing,Female,www.linkedin.com/Brigitte,Brigitte,MARTIN,728,69,38,,15
ABM Industries Incorporated,70-510-7307,5,91538 Del Sol Trail,Bakersfield,New York,NY,United States,6945792418,Business Management and Scientific Services,36046934,g.co,Assistant Vice President - Information Security Gr,Male,www.linkedin.com/Hassan,Hassan,BALDWIN,437,60,49,,5
Ace Hardware Corporation,70-510-7308,5,91538 Del Sol Trail,Bakersfield,Georgia,GA,United States,6267034718,Accommodation & Food Services,36046935,g.co,Manager - Incident,Female,www.linkedin.com/Juliane,Juliane,EDWARDS,314,53,72,,7
ACT Manufacturing Inc.,70-510-7309,5,91538 Del Sol Trail,Bakersfield,Kansas,KS,United States,8972399179,"Real Estate, Rental & Leasing",36046936,g.co,Head - Accounts & Finance,Male,www.linkedin.com/Marshall,Marshall,PERRY,527,42,120,,16
Acterna Corp.,70-510-7310,5,91538 Del Sol Trail,Bakersfield,Minnesota,MN,United States,5188439309,Business Management and Scientific Services,36046937,g.co,Senior Associate - HR,Male,www.linkedin.com/Seamus,Seamus,PAYNE,140,62,117,,6
"Adams Resources & Energy, Inc.",70-510-7311,5,91538 Del Sol Trail,Bakersfield,Indiana,IN,United States,8259336515,"Arts, Entertainment & Recreation",36046938,g.co,Officer - Procurement,Female,www.linkedin.com/Sari,Sari,ROOSEVELT,682,54,90,,12
"ADC Telecommunications, Inc.",70-510-7312,5,91538 Del Sol Trail,Bakersfield,Vermont,VT,United States,5543787952,Construction & Engineering Services,36046939,g.co,Manager - IT Infrastructure,Male,www.linkedin.com/Ambrose,Ambrose,ROBINSON,776,52,94,,13
Adelphia Communications Corporation,70-510-7313,5,91538 Del Sol Trail,Bakersfield,Maine,ME,United States,5039650159,Accommodation & Food Services,36046940,g.co,Associate Consultant & Manager - Projects,Male,www.linkedin.com/Diego,Diego,FOX,546,51,60,,19
"Administaff, Inc.",70-510-7314,5,91538 Del Sol Trail,Bakersfield,Illinois,IL,United States,2378117347,Diversified,36046941,g.co,Chairman & Executive Director,Male,www.linkedin.com/Judith,Judith,SCOTT,172,44,171,,7
Adobe Systems Incorporated,70-510-7315,5,91538 Del Sol Trail,Bakersfield,Maryland,MD,United States,1088293547,Transport & Warehousing,36046942,g.co,Chief Engineer - IT Infrastructure,Male,www.linkedin.com/Von,Von,JOHN,580,32,139,,12
Adolph Coors Company,70-510-7316,5,91538 Del Sol Trail,Bakersfield,Indiana,IN,United States,5633571673,Telecommunications,36046943,g.co,Head ? Client Solutions,Male,www.linkedin.com/Jordon,Jordon,HUDSON,359,59,103,,17
"Advance Auto Parts, Inc.",70-510-7317,5,91538 Del Sol Trail,Bakersfield,Massachusetts,MA,United States,9048503474,Health & Community Services,36046944,g.co,Team Member - IT,Female,www.linkedin.com/Janina,Janina,MASON,762,29,34,,14
"Advanced Micro Devices, Inc.",70-510-7318,5,91538 Del Sol Trail,Bakersfield,Iowa,IA,United States,2308426628,Telecommunications,36046945,g.co,Senior Finance & Administration Officer,Female,www.linkedin.com/Isabel,Isabel,COLEMAN,788,70,86,,18
"AdvancePCS, Inc.",70-510-7319,5,91538 Del Sol Trail,Bakersfield,Maine,ME,United States,5665310083,Information & Media,36046946,g.co,Senior Software Developer,Female,www.linkedin.com/Amaleta,Amaleta,LEONARD,220,30,121,,14
"Advantica Restaurant Group, Inc.",70-510-7320,5,91538 Del Sol Trail,Bakersfield,Colorado,CO,United States,3855375575,Telecommunications,36046947,g.co,GENERAL MANAGER PUBLIC RELATIONS,Male,www.linkedin.com/Arvind,Arvind,HENDERSON,906,69,120,,6
The AES Corporation,70-510-7321,5,91538 Del Sol Trail,Bakersfield,Missouri,MO,United States,4463313719,Personal & Other Services,36046948,g.co,Assistant Vice President - Technica,Female,www.linkedin.com/Eveleen,Eveleen,ROSS,624,48,34,,19
Aetna Inc.,70-510-7322,5,91538 Del Sol Trail,Bakersfield,Maine,ME,United States,6167401147,Information & Media,36046949,g.co,Officer - EDP,Female,www.linkedin.com/Arabela,Arabela,DUNN,163,22,43,,20
"Affiliated Computer Services, Inc.",70-510-7323,5,91538 Del Sol Trail,Bakersfield,Puerto Rico,PR,United States,8711371936,Electrical & Electronics,36046950,g.co,Network Administrator,Male,www.linkedin.com/Tucker,Tucker,CARR,478,35,48,,11
AFLAC Incorporated,70-510-7324,5,91538 Del Sol Trail,Bakersfield,Alabama,AL,United States,1995467406,Education Services,36046951,g.co,Senior Office Superintendent,Female,www.linkedin.com/Penelopa,Penelopa,MILLS,197,50,108,,20
AGCO Corporation,70-510-7325,5,91538 Del Sol Trail,Bakersfield,Connecticut,CT,United States,7468520916,Accommodation & Food Services,36046952,g.co,Manager - Unit,Male,www.linkedin.com/Julio,Julio,CLARK,818,33,184,,14
"Agilent Technologies, Inc.",70-510-7326,5,91538 Del Sol Trail,Bakersfield,Arkansas,AR,United States,1576024527,Construction & Engineering Services,36046953,g.co,Chief Manager Procurement,Male,www.linkedin.com/Antin,Antin,ROBERT,213,49,47,,13
Agway Inc.,70-510-7327,5,91538 Del Sol Trail,Bakersfield,Maryland,MD,United States,7591894721,Business Management and Scientific Services,36046954,g.co,Solution Architect - Server,Female,www.linkedin.com/Chryste,Chryste,BAKER,945,36,74,,12
Apartment Investment and Management Company,70-510-7328,5,91538 Del Sol Trail,Bakersfield,Georgia,GA,United States,1188333509,Banking,36046955,g.co,President - Finance & Planning,Female,www.linkedin.com/Jacqui,Jacqui,BLAIR,826,59,55,,16
"Air Products and Chemicals, Inc.",70-510-7329,5,91538 Del Sol Trail,Bakersfield,Kansas,KS,United States,8159323801,MINING,36046956,g.co,Team Member - IT,Female,www.linkedin.com/Adella,Adella,MONTGOMERY,507,51,52,,15
