Company Name,DUNS Number,Address: line1,Address: line2,City,State/Province,State/Province ISO code,Country,Annual Sales,Industry,SIC Code,Website,Contact Job Title,Gender,Personal Linkedin Link,Contact First Name,Contact Last Name,No of PCs,No of Servers,No of Colur Printers,Major Network Brand,No of Laser Printers
3Com Corp,70-610-7302,5,91538 Del Sol Trail,Bakersfield,North Carolina,NC,United States,6096552607,"Real Estate, Rental & Leasing",36046929,g.co,Architect - IT Infrastructure,Male,www.linkedin.com/Yaakov,Yaakov,BERRY,408,60,100,Rowe-Bernier,10
3M Company,70-610-7303,5,91538 Del Sol Trail,Bakersfield,Texas,TX,United States,9019816723,Personal & Other Services,36046930,g.co,President - HR,Female,www.linkedin.com/Julianna,Julianna,FRENCH,624,30,118,,17
A.G. Edwards Inc.,70-610-7304,5,91538 Del Sol Trail,Bakersfield,South Carolina,SC,United States,3998746577,IT Supplier,36046931,g.co,Chief - IT,Male,www.linkedin.com/Rutger,Rutger,ISLAND,579,44,57,,18
Abbott Laboratories,70-610-7305,5,91538 Del Sol Trail,Bakersfield,West Virginia,WV,United States,8123931265,IT Supplier,36046932,g.co,Delivery Services India,Male,www.linkedin.com/Otho,Otho,ABBOTT,506,49,140,,16
Abercrombie & Fitch Co.,70-610-7306,5,91538 Del Sol Trail,Bakersfield,Missouri,MO,United States,8179679957,Personal & Other Services,36046933,g.co,Head - InfrastructureOperations,Female,www.linkedin.com/Jeralee,Jeralee,DAVID,728,69,38,,15
ABM Industries Incorporated,70-610-7307,5,91538 Del Sol Trail,Bakersfield,Pennsylvania,PA,United States,5313681266,Finance & Insurance,36046934,g.co,Head - Corporate IT,Female,www.linkedin.com/Johnette,Johnette,JOHN,437,60,49,,5
Ace Hardware Corporation,70-610-7308,5,91538 Del Sol Trail,Bakersfield,Massachusetts,MA,United States,2759218819,MINING,36046935,g.co,Joint Manager,Male,www.linkedin.com/Laurens,Laurens,CARR,314,53,72,,7
ACT Manufacturing Inc.,70-610-7309,5,91538 Del Sol Trail,Bakersfield,Wisconsin,WI,United States,4137848650,MINING,36046936,g.co,Executive - Sales,Female,www.linkedin.com/Joella,Joella,GRIFFIN,527,42,120,,16
Acterna Corp.,70-610-7310,5,91538 Del Sol Trail,Bakersfield,Colorado,CO,United States,1989012508,Electrical & Electronics,36046937,g.co,Chief Technical Service,Male,www.linkedin.com/Ambrosio,Ambrosio,STONE,140,62,117,,6
"Adams Resources & Energy, Inc.",70-610-7311,5,91538 Del Sol Trail,Bakersfield,Oklahoma,OK,United States,4488997026,Education Services,36046938,g.co,Manager - Projects,Male,www.linkedin.com/Olin,Olin,PORTER,682,54,90,,12
"ADC Telecommunications, Inc.",70-610-7312,5,91538 Del Sol Trail,Bakersfield,Virgin Islands,VI,United States,6353445987,Construction & Engineering Services,36046939,g.co,Chief Engineer - IT Infrastructure,Male,www.linkedin.com/Madison,Madison,HUNT,776,52,94,,13
Adelphia Communications Corporation,70-610-7313,5,91538 Del Sol Trail,Bakersfield,Nebraska,NE,United States,1974264569,Education Services,36046940,g.co,Senior Officer - Systems,Male,www.linkedin.com/Alic,Alic,TAYLOR,546,51,60,,19
"Administaff, Inc.",70-610-7314,5,91538 Del Sol Trail,Bakersfield,Delaware,DE,United States,6430217626,Business Management and Scientific Services,36046941,g.co,Manager - Accounts,Female,www.linkedin.com/Averyl,Averyl,JAMES,172,44,171,,7
Adobe Systems Incorporated,70-610-7315,5,91538 Del Sol Trail,Bakersfield,New Jersey,NJ,United States,7238343972,Accommodation & Food Services,36046942,g.co,Vice President - People & Operation,Male,www.linkedin.com/Sigmund,Sigmund,DAY,580,32,139,,12
Adolph Coors Company,70-610-7316,5,91538 Del Sol Trail,Bakersfield,Alaska,AK,United States,5250788624,Personal & Other Services,36046943,g.co,Chief General Manager - IT,Male,www.linkedin.com/Lind,Lind,BROS,359,59,103,,17
"Advance Auto Parts, Inc.",70-610-7317,5,91538 Del Sol Trail,Bakersfield,Pennsylvania,PA,United States,9455611174,Telecommunications,36046944,g.co,Manager - Finance & IT,Male,www.linkedin.com/Phip,Phip,JAMES,762,29,34,,14
"Advanced Micro Devices, Inc.",70-610-7318,5,91538 Del Sol Trail,Bakersfield,Colorado,CO,United States,7137818171,Utilities & Waste Management,36046945,g.co,Head - Ims,Male,www.linkedin.com/Humbert,Humbert,WHEELER,788,70,86,,18
"AdvancePCS, Inc.",70-610-7319,5,91538 Del Sol Trail,Bakersfield,North Dakota,ND,United States,6926795956,Information & Media,36046946,g.co,Executive Director - Materials,Female,www.linkedin.com/Waly,Waly,WALKER,220,30,121,,14
"Advantica Restaurant Group, Inc.",70-610-7320,5,91538 Del Sol Trail,Bakersfield,Idaho,ID,United States,4439635704,"Arts, Entertainment & Recreation",36046947,g.co,Senior Officer - HR,Male,www.linkedin.com/Sansone,Sansone,BROWN,906,69,120,,6
The AES Corporation,70-610-7321,5,91538 Del Sol Trail,Bakersfield,Colorado,CO,United States,7358642542,Manufacturing,36046948,g.co,Manager - Unit,Male,www.linkedin.com/Merill,Merill,THOMAS,624,48,34,,19
Aetna Inc.,70-610-7322,5,91538 Del Sol Trail,Bakersfield,Nevada,NV,United States,1617712394,IT Supplier,36046949,g.co,General Manager - IT,Male,www.linkedin.com/Alfie,Alfie,SIMPSON,163,22,43,,20
