INDIVIDUAL_ID,HOUSEHOLD_ID,FIRST_NAME,LAST_NAME,RFV Score,Age,Life Stage, Shoes-PriceTier , Home-PriceTier , Garden-Pricetier 
5529732642,5543414614,Maria,Mendez,234,45,Young Singles,Best,Best,Best
5531493803,5545095856,Rene,Howell,341,35,Young Singles,Best,Good,Good
5531361374,5544968561,Jerome,Grushkin,114,43,Mature,Better,Best,Good
5533187307,5546714362,Pat,Philpott,315,22,Young Couple,Good,Good,Good
5527644144,5541421122,Ronald,Thompson,313,36,Young Couple,Good,Good,Better
5538938993,5552291249,Julie,Schnell,353,54,Mom & Baby,Better,Best,Good
5535860610,5549285975,Ginger,Benwell,513,47,Mature,Best,Better,Better
5539457215,5553055106,Janna,Young,515,32,Young Singles,Best,Better,Best
5537237475,5550635063,Leslie,Sofarelli,455,51,Young Singles,Better,Good,Better
5533208677,5546734324,Joann,Carelli,555,46,Mature,Best,Better,Good
5538079287,5551456922,Robert,Bohls,242,28,Young Singles,Better,Good,Best
5539471960,5553068615,Shirley,Johnson,255,43,Mature,Best,Best,Best
5529301455,5543000278,Marvin,Arotsky,515,36,Young Singles,Good,Good,Better
5539886821,5553449396,Karen,Chrisman,145,22,Empty Nester,Good,Better,Better
5535588602,5549021658,Ronald,Teel,313,30,Empty Nester,Good,Best,Better
5530294488,5543949429,Larry,Henagan,515,36,Young Singles,Good,Good,Best
5531201119,5544817050,Jody,Every,532,47,Mature,Good,Better,Best
5532136841,5545710035,Genna,Brown,235,48,Mom & Baby,Better,Better,Good
5539350961,5552695711,Phyllis,Yff,532,25,Young Couple,Good,Best,Best
5536227464,5549644651,Ken,Matthias,513,50,Young Singles,Good,Better,Best
5537513109,5550903684,Natividad,Gutierrez,154,29,Young Singles,Good,Best,Good
5538481740,5551847398,Jessica,Gutierrez-Rodriguez,131,37,Young Singles,Better,Good,Best
5534114495,5547600063,Camela,Sandmann,455,24,Mom & Baby,Better,Best,Best
5533030612,5546567539,Danielle,Breitbart,252,34,Mom & Baby,Best,Better,Best
5528789270,5542513474,Rhona,Reamer,352,40,Young Singles,Best,Better,Better
5532215380,5545783401,David,Wilcox,212,38,Young Couple,Best,Better,Better
5539547922,5553137604,Mary,Miller,213,43,Mom & Baby,Best,Good,Better
5533002485,5546541190,Christina,Thielst,433,35,Mature,Good,Better,Good
5532150576,5545722823,Douglas,Wagner,255,21,Mom & Baby,Better,Better,Better
5534940761,5548391674,Mary,Torra,355,23,Young Singles,Best,Good,Best
5528166645,5541920947,Sharon,Phibbs,124,24,Mature,Good,Best,Best
5527384895,5541178391,Ronald,Herring,223,44,Mature,Best,Better,Better
5532116762,5545691175,Amanda,Leu,244,28,Mom & Baby,Good,Best,Best
5533146184,5546676020,Donna,MacPhee,535,48,Young Singles,Better,Best,Better
5528108084,5541866104,Richard,Petrus,214,21,Young Couple,Better,Best,Best
5539093606,5552442729,Rebates,Teves,342,53,Empty Nester,Better,Best,Best
5539558121,5553146879,Rebecca,Griffith,225,27,Young Couple,Better,Best,Best
5530970393,5544601093,Jane,Lundberg,244,28,Mom & Baby,Good,Best,Better
5539640434,5553221666,Judith,Cox,141,45,Young Singles,Better,Good,Best
5528365468,5542106956,Nancy,Swick,433,23,Young Singles,Better,Good,Best
5527631562,5541409374,Scott,Outwater,524,22,Young Singles,Good,Good,Best
5538577470,5551939465,Kimmarie,Gizelbach,554,40,Empty Nester,Good,Better,Best
5530212758,5543872984,Larry,Zaporowski,442,51,Mom & Baby,Better,Good,Better
5539062836,5552412578,Claudine,Elhajal,311,29,Young Couple,Good,Best,Best
5526313926,5540143885,Hamid,Roostaee,524,50,Mature,Better,Good,Better
5538445107,5551811818,Tamara,Dube,253,42,Young Singles,Better,Good,Best
5536642011,5550052098,Austin,Bullock,234,51,Young Couple,Better,Good,Better
5538352213,5551720954,Todd,Mackanin,153,21,Empty Nester,Better,Best,Better
5536323512,5549738547,Cathy,Newton,213,22,Young Couple,Good,Better,Good
5531164866,5552881964,Jessica,Fralin,134,27,Mature,Good,Better,Better
5533048009,5546583803,Denise,Granger,134,46,Young Singles,Good,Best,Better
5537454836,5550846811,Ann,Riggle,325,24,Young Couple,Best,Good,Best
5527676074,5541450918,Robert,McColl,545,33,Young Couple,Best,Best,Best
5532110197,5545685017,Gretchen,Gay,251,44,Young Couple,Good,Best,Good
5528122949,5541880056,Peter,Flores,534,38,Mom & Baby,Best,Best,Better
5533128330,5546659343,E,Curry,444,43,Mom & Baby,Better,Better,Best
5533095990,5546628946,Daniel,Maxwell,215,29,Young Couple,Better,Better,Good
5529296750,5542995870,Mary,Cardin,233,22,Mom & Baby,Best,Good,Better
5527663163,5541438874,Suzanne,Borzilleri,511,33,Mom & Baby,Good,Better,Better
5531167708,5544785690,James,Doin,534,49,Young Couple,Better,Good,Better
5539776961,5553345873,Paula,Snowden,425,20,Empty Nester,Good,Better,Good
5528397254,5542136624,Donald,Wahl,443,42,Mature,Best,Best,Better
5534114421,5547599994,Roberta,Dangerfield,455,23,Empty Nester,Good,Better,Good
5949412211,5949418432,Carla,Davidson,552,21,Young Singles,Better,Good,Better
5530258317,5543915628,Cindy,Pye,355,36,Young Singles,Best,Better,Best
5536140893,5549559966,Connie,Steffen,541,52,Young Singles,Better,Good,Best
5533154236,5546683560,Louis,Talley,455,22,Empty Nester,Better,Best,Better
5941709517,5941733921,Susan,Lindsey,541,22,Young Couple,Best,Best,Better
5941708421,5548234823,Sean,Depew,552,41,Mature,Better,Good,Best
5529026898,5542743374,Maureen,Ivens,514,29,Empty Nester,Good,Good,Best
5528252909,5542001535,Angela,Proscia,441,35,Mom & Baby,Best,Best,Best
5526693487,5540508096,Joan,Smith,315,28,Young Singles,Good,Good,Better
5531143794,5544763113,Jonathon,Gutzwiller,114,33,Young Singles,Good,Better,Good
5527681561,5541456036,Sherrlyn,Bostic,442,44,Young Singles,Best,Best,Good
5528359746,5542101638,Janet,Pauley,215,39,Empty Nester,Good,Best,Best
5530021316,5543693515,Kerry,Knackstedt,115,43,Empty Nester,Better,Better,Better
5534910827,5548363744,Mark,Papenhausen,135,27,Mom & Baby,Best,Best,Good
5538182578,5551556413,Patricia,Borgman,543,51,Mature,Best,Best,Best
5526177222,5540015782,William,Rusher,231,29,Empty Nester,Good,Good,Best
5531000356,5544629019,Joseph,Peritore,454,55,Young Singles,Better,Best,Good
5539383886,5552988387,Tom,Bird,125,39,Empty Nester,Best,Best,Better
